Código	Produto	Tipo	Valor Investido	Emissão	Vencimento	Dias Corridos	Dias Úteis	Taxa	Tipo Indexador	Preço Unitário	Quantidade	Valor Líquido	Rentabilidade Líquida	Rentabilidade Média	Liquidado?
EXEMPLO-0001	BANCO VÉRTICE BRASIL S.A.	LCA	R$ 13.800,00	07/05/2017	14/08/2017	99	70	9,46% a.a.	PRÉ-FIXADO	R$ 1.150,00	12	R$ 14.142,27	2,480217391304	0,035431677	TRUE
EXEMPLO-0002	BANCO AURORA CAPITAL S.A.	LCA	R$ 1.600,00	24/05/2017	17/09/2017	116	83	105,28% do CDI	PÓS-FIXADO	R$ 533,33	3	R$ 1.659,14	3,696250000000	0,044533133	TRUE
EXEMPLO-0003	BANCO ORBE S.A.	LCI	R$ 4.305,32	16/04/2017	03/10/2017	170	121	130,48% do CDI	PÓS-FIXADO	R$ 717,55	6	R$ 4.594,79	6,723542036364	0,055566463	TRUE
EXEMPLO-0004	COOPERATIVA CREDIVALE EXEMPLO	LCA	R$ 1.777,71	20/07/2017	21/10/2017	93	67	8,79% a.a.	PRÉ-FIXADO	R$ 444,43	4	R$ 1.816,26	2,168520174832	0,032365973	TRUE
EXEMPLO-0005	BANCO ELO CAPITAL S.A.	LCA	R$ 8.275,82	28/06/2017	09/12/2017	164	118	CDI + 1,65%	PÓS-FIXADO	R$ 8.275,82	1	R$ 8.747,87	5,703966495163	0,048338699	TRUE
EXEMPLO-0006	BANCO NOVA VIA S.A.	CDB	R$ 46.200,00	25/02/2017	31/01/2018	340	242	17,19% a.a.	PRÉ-FIXADO	R$ 3.850,00	12	R$ 52.081,05	12,729545454545	0,052601427	TRUE
EXEMPLO-0007	BANCO NOVA VIA S.A.	CDB	R$ 7.600,00	04/04/2017	12/04/2018	373	267	CDI + 1,21%	PÓS-FIXADO	R$ 760,00	10	R$ 8.414,88	10,722105263158	0,040157698	TRUE
EXEMPLO-0008	BANCO ELO CAPITAL S.A.	CDB	R$ 1.841,78	30/04/2017	26/04/2018	361	258	IPCA + 4,51%	INFLAÇÃO	R$ 184,18	10	R$ 1.980,07	7,508497214651	0,029102702	TRUE
EXEMPLO-0009	BANCO ORBE S.A.	LCA	R$ 8.121,21	11/06/2017	13/05/2018	336	240	101,31% do CDI	PÓS-FIXADO	R$ 0,01	812121	R$ 8.987,71	10,669592339073	0,044456635	TRUE
EXEMPLO-0010	COOPERATIVA CREDIVALE EXEMPLO	CDB	R$ 12.000,00	05/07/2017	06/07/2018	366	262	110,49% do CDI	PÓS-FIXADO	R$ 4.000,00	3	R$ 13.260,67	10,505583333333	0,040097646	TRUE
EXEMPLO-0011	BANCO ATLÂNTICO CAPITAL S.A.	LCI	R$ 19.865,86	09/06/2017	07/07/2018	393	281	16,06% a.a.	PRÉ-FIXADO	R$ 993,29	20	R$ 23.318,69	17,380722505847	0,061853105	TRUE
EXEMPLO-0012	BANCO ORBE S.A.	LCI	R$ 4.800,00	02/08/2017	15/08/2018	378	270	9,78% a.a.	PRÉ-FIXADO	R$ 1.200,00	4	R$ 5.286,63	10,138125000000	0,037548611	TRUE
EXEMPLO-0013	BANCO NOVA VIA S.A.	LCI	R$ 12.700,00	23/09/2017	06/09/2018	348	248	100,89% do CDI	PÓS-FIXADO	R$ 0,01	1270000	R$ 14.100,21	11,025275590551	0,044456756	TRUE
EXEMPLO-0014	BANCO ORBE S.A.	CDB	R$ 25.730,16	05/09/2017	21/09/2018	381	273	12,50% a.a.	PRÉ-FIXADO	R$ 3.216,27	8	R$ 28.505,18	10,785086451075	0,039505811	TRUE
EXEMPLO-0015	BANCO SERRA AZUL S.A.	CDB	R$ 13.162,94	07/07/2018	08/12/2018	154	110	CDI + 1,72%	PÓS-FIXADO	R$ 13.162,94	1	R$ 13.728,89	4,299571372353	0,039087012	TRUE
EXEMPLO-0016	BANCO HORIZONTE DIGITAL S.A.	LCA	R$ 8.465,87	03/06/2018	17/01/2019	228	163	13,28% a.a.	PRÉ-FIXADO	R$ 8.465,87	1	R$ 9.151,15	8,094619926836	0,049660245	TRUE
EXEMPLO-0017	BANCO PONTE S.A.	CDB	R$ 1.541,27	16/10/2018	04/03/2019	139	99	16,35% a.a.	PRÉ-FIXADO	R$ 102,75	15	R$ 1.614,42	4,746086019971	0,047940263	TRUE
EXEMPLO-0018	COOPERATIVA SULCRED EXEMPLO	LCA	R$ 20.285,50	10/12/2018	13/05/2019	154	110	117,32% do CDI	PÓS-FIXADO	R$ 2.535,69	8	R$ 21.397,37	5,481107194794	0,049828247	TRUE
EXEMPLO-0019	BANCO ORBE S.A.	LCA	R$ 22.200,00	13/04/2019	16/08/2019	125	89	112,06% do CDI	PÓS-FIXADO	R$ 11.100,00	2	R$ 23.140,31	4,235630630631	0,047591355	TRUE
EXEMPLO-0020	BANCO ORBE S.A.	CDB	R$ 14.500,00	15/09/2018	20/08/2019	339	241	10,26% a.a.	PRÉ-FIXADO	R$ 1.812,50	8	R$ 15.600,69	7,590965517241	0,031497782	TRUE
EXEMPLO-0021	BANCO AURORA CAPITAL S.A.	CDB	R$ 5.400,00	27/08/2018	15/09/2019	384	275	96,82% do CDI	PÓS-FIXADO	R$ 5.400,00	1	R$ 5.922,94	9,684074074074	0,035214815	TRUE
EXEMPLO-0022	BANCO ELO CAPITAL S.A.	LCI	R$ 23.642,29	22/01/2019	29/12/2019	341	244	107,18% do CDI	PÓS-FIXADO	R$ 2.955,29	8	R$ 26.352,22	11,462214531672	0,046976289	TRUE
EXEMPLO-0023	BANCO VÉRTICE BRASIL S.A.	LCI	R$ 4.860,29	10/06/2017	25/03/2020	1019	727	15,25% a.a.	PRÉ-FIXADO	R$ 972,06	5	R$ 7.221,58	48,583314987377	0,066827118	TRUE
EXEMPLO-0024	BANCO PRISMA FINANCEIRO S.A.	CDB	R$ 28.247,15	02/09/2019	26/03/2020	206	148	IPCA + 6,46%	INFLAÇÃO	R$ 1.412,36	20	R$ 29.647,66	4,958057715557	0,033500390	TRUE
EXEMPLO-0025	BANCO NOVA VIA S.A.	LCA	R$ 1.108,10	24/04/2019	01/04/2020	343	245	119,45% do CDI	PÓS-FIXADO	R$ 369,37	3	R$ 1.250,47	12,848118400866	0,052441300	TRUE
EXEMPLO-0026	BANCO VÉRTICE BRASIL S.A.	LCA	R$ 28.295,10	28/02/2018	05/04/2020	767	548	8,47% a.a.	PRÉ-FIXADO	R$ 28.295,10	1	R$ 33.562,87	18,617251750303	0,033973087	TRUE
